price,discount,selling_proposition,product_title,rank_number,rank_type,rank_category,is_ranked
5.7,25,100,"Shaking Swing Balls Game - Fun Family Outdoor And Indoor Game - Party Supplies For Wedding, Anniversary, Birthday, And Summer Holidays,Pool Toys Suitable For Pool Games,Pool Party",,,,0
18.43,27,0,"Men's Casual Sports Sneakers, Non-slip White Shoes For All Seasons, Suitable For Students",3.0,Best Sellers,Men Casual Shoes,1
16.64,25,1400,Yoga Trendy Letter Graphic Sports Bra & Tank Top & Leggings,,,,0
13.45,31,0,SHEIN Running Plus 3pcs Geo Print Curved Hem Sports Tank Top,2.0,Best Sellers,Regular Fit Plus Size Sports Tops,1
10.39,0,200,Women's Solid Color Simple Pleated Sport Skort,,,,0
4.61,51,0,"Foldable Reflective Sunshade Umbrella For Car Windshield, Queen-Size UV Protector Sun Blind Umbrella",3.0,Best Sellers,Shade Sails,1
3.76,67,300,"1pc Four-Tube Striped Inflatable Hammock Floating Bed Made Of Pvc Material, Foldable And Suitable For Swimming Pool Leisure Summer Park",,,,0
1.62,5,0,"1 piece Drinking Dice, drink game accessory for parties, suitable for parties, outdoor camping, hiking, and Christmas Games party supplies. Convenient for easy carrying, providing you with more enjoyable gaming experience.",3.0,Best Sellers,Dice Games,1
1.7,0,600,"Universal Waterproof Phone Pouch, Waterproof Phone Case Compatible Compatible With IPhone 14 13 12 11Pro Max XS Plus Samsung Galaxy S22 Cellphone Up To 7.0"", 3D Cellphone Dry Bag For Vacation Compatible With IPhone, Samsung Galaxy, Quantum , Phoenix",,,,0
2.65,45,0,"1pc Draped Fishing Hat Umbrella Large Adult Hat, Head Wearing Umbrella For Men And Women Outdoor Folding Sunny Umbrella Camping Camping Stuff",3.0,Best Sellers,Camping & Hiking Accessories,1
8.79,0,0,Men's Summer Thin Quick-Dry Running And Basketball Sports Shorts,9.0,Best Sellers,Loose Men Active Bottoms,1
5.77,25,1100,SHEIN Sport Studio Crisscross Back Sports Tank Top,,,,0
19.45,31,1000,SHEIN Yoga Basic 4pcs Seamless High Stretch Sports Set,,,,0
3.4,0,100,"1pc Sun Shade Sliding Cover Hat, Ladies' Simple Linen Herringbone Cap With Uv And Sun Protection, Suitable For Outdoor Travel, Tennis, Sports And Cycling",,,,0
1.4,0,2000,"2pcs Women's Sponge Forefoot Inserts To Relieve Pain, Reduce Shoe Size And Enhance Fit, Comfort And Protection For High-Heeled Shoes",,,,0
5.8,30,4800,Yoga Basic Plus Wideband Waist Sports Shorts,,,,0
14.42,19,10,Outdoor Leisure Vest Men's New Multi-Pocket Breathable Outdoor Sports Coat High-Quality Design Leisure Vest Men,,,,0
1.96,39,100,"1pc Impact Resistant Goggles, Protective Goggles X400 Riding Goggles",,,,0
0.96,56,0,Waterproof Hair Cutting Cape Apron for Barbers and Salon Stylists - Protects Clothes and Keeps You Dry During Hair Cuts and Beard Shaving,5.0,Best Sellers,Good Quality Aprons,1
9.99,14,6800,SHEIN EZwear Women's V-Neck Drop Shoulder Fleece Sweatshirt,,,,0
5.45,50,300,SHEIN Essnce Slogan Graphic Thermal Lined Sweatshirt,,,,0
3.26,64,200,"Women's Black Quick-Dry Water Shoes, Beach Shoes, Aqua Shoes, Swim Shoes, Non-Slip Water Socks, Breathable Running Shoes, Yoga Shoes, Indoor Barefoot Shoes",,,,0
3.81,65,300,SHEIN LUNE Slogan Graphic Drop Shoulder Sweatshirt,,,,0
10.94,25,0,Men's Solid Color Half Zipper Sports Hoodie Gym Clothes Men,2.0,Best Sellers,Men Sports Sweatshirts,1
